"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","User Management","0","Update User Tier","1","0","","0"
"0","User Management","0","User List API","1","0","","0"
"0","Authentication","0","Google OAuth","1","0","","0"
"0","User Management","0","Change Password","1","0","","0"
"0","User Management","0","Remove Partner Level","1","0","","0"
"0","User Management","0","Self Profile Update","2","0","","0"
"0","Framework","0","Configuration","4","0","","0"
"0","Authentication","0","Password Reset Flow","1","0","","0"
"0","User Management","0","User Search and Filter","1","0","","0"
"0","Infrastructure","0","Health Check","2","0","","0"
"0","Infrastructure","0","API Documentation","2","0","","0"
"0","Feature Flags","0","Flag Evaluation","1","0","","0"
"0","User Management","0","Get User By ID","1","0","","0"
"0","Framework","0","Allure Integration","1","0","","0"
"0","Authentication","0","Auth Flows","1","0","","0"
"0","Feature Flags","0","Admin Feature Flag Management","2","0","","0"
"0","User Management","0","Delete User","1","0","","0"
"0","User Management","0","Update User Status","1","0","","0"
"0","Authentication","0","Reset Password","1","0","","0"
"0","Authentication","0","Login","1","0","","0"
"0","Authentication","0","Forgot Password","1","0","","0"
"0","Authentication","0","Register","1","0","","0"
"0","User Management","0","Update User Profile","1","0","","0"
"0","User Management","0","Create User","1","0","","0"
"0","User Management","0","Assign Partner Level","1","0","","0"
